"field" "id" "type" "subtype" "period" "route"
"1" "SMC-SC1" 107 "B" "B2" 1.02945 "./data/SMC-SC1-107.dat"
"2" "SMC-SC1" 4486 "B" "B1" 1.37251 "./data/SMC-SC1-4486.dat"
"3" "SMC-SC1" 4433 "C" "C1" 9.44995 "./data/SMC-SC1-4433.dat"
"4" "SMC-SC1" 6021 "B" "B2" 1.22233 "./data/SMC-SC1-6021.dat"
"5" "SMC-SC1" 1 "C" "C1" 14.3816 "./data/SMC-SC1-1.dat"
"6" "SMC-SC1" 25563 "B" "B2" 1.34096 "./data/SMC-SC1-25563.dat"
"7" "SMC-SC1" 32343 "B" "B2" 1.41458 "./data/SMC-SC1-32343.dat"
"8" "SMC-SC1" 33967 "B" "B2" 1.38818 "./data/SMC-SC1-33967.dat"
"9" "SMC-SC1" 82243 "B" "B1" 2.10287 "./data/SMC-SC1-82243.dat"
"10" "SMC-SC1" 67260 "B" "B2" 1.42301 "./data/SMC-SC1-67260.dat"
"11" "SMC-SC1" 73532 "B" "B2" 1.26919 "./data/SMC-SC1-73532.dat"
"12" "SMC-SC1" 62200 "B" "B2" 1.12895 "./data/SMC-SC1-62200.dat"
"13" "SMC-SC1" 60542 "C" "C1" 8.49466 "./data/SMC-SC1-60542.dat"
"14" "SMC-SC1" 69199 "B" "B1" 36.9346 "./data/SMC-SC1-69199.dat"
"15" "SMC-SC1" 58970 "B" "B2" 1.22545 "./data/SMC-SC1-58970.dat"
"16" "SMC-SC1" 56954 "C" "C2" 7.94111 "./data/SMC-SC1-56954.dat"
"17" "SMC-SC1" 92313 "B" "B1" 2.11317 "./data/SMC-SC1-92313.dat"
"18" "SMC-SC1" 92279 "B" "B1" 2.13118 "./data/SMC-SC1-92279.dat"
"19" "SMC-SC1" 110552 "B" "B1" 3.4891 "./data/SMC-SC1-110552.dat"
"20" "SMC-SC1" 93875 "B" "B2" 1.36891 "./data/SMC-SC1-93875.dat"
"21" "SMC-SC1" 95571 "B" "B2" 1.21625 "./data/SMC-SC1-95571.dat"
"22" "SMC-SC2" 1423 "B" "B2" 1.21624 "./data/SMC-SC2-1423.dat"
"23" "SMC-SC2" 1 "B" "B2" 17.9384 "./data/SMC-SC2-1.dat"
"24" "SMC-SC2" 1415 "B" "B2" 1.2653 "./data/SMC-SC2-1415.dat"
"25" "SMC-SC2" 4348 "C" "C1" 1.27438 "./data/SMC-SC2-4348.dat"
"26" "SMC-SC2" 5859 "B" "B1" 1.47203 "./data/SMC-SC2-5859.dat"
"27" "SMC-SC2" 19807 "B" "B2" 1.88309 "./data/SMC-SC2-19807.dat"
"28" "SMC-SC2" 5860 "B" "B1" 1.65263 "./data/SMC-SC2-5860.dat"
"29" "SMC-SC2" 27122 "B" "B2" 3.76261 "./data/SMC-SC2-27122.dat"
"30" "SMC-SC2" 46803 "B" "B1" 1.47941 "./data/SMC-SC2-46803.dat"
"31" "SMC-SC2" 33324 "B" "B1" 1.73097 "./data/SMC-SC2-33324.dat"
"32" "SMC-SC2" 27109 "C" "C2" 10.3333 "./data/SMC-SC2-27109.dat"
"33" "SMC-SC2" 41579 "B" "B1" 3.16803 "./data/SMC-SC2-41579.dat"
"34" "SMC-SC2" 51383 "B" "B1" 4.91551 "./data/SMC-SC2-51383.dat"
"35" "SMC-SC2" 35276 "C" "C1" 17.4625 "./data/SMC-SC2-35276.dat"
"36" "SMC-SC2" 41638 "B" "B1" 1.91339 "./data/SMC-SC2-41638.dat"
"37" "SMC-SC2" 45031 "B" "B3" 1.62155 "./data/SMC-SC2-45031.dat"
"38" "SMC-SC2" 41552 "C" "C2" 13.4788 "./data/SMC-SC2-41552.dat"
"39" "SMC-SC2" 38071 "B" "B1" 2.23258 "./data/SMC-SC2-38071.dat"
"40" "SMC-SC2" 35278 "A" "A2" 10.2882 "./data/SMC-SC2-35278.dat"
"41" "SMC-SC2" 25556 "B" "B1" 28.4401 "./data/SMC-SC2-25556.dat"
"42" "SMC-SC2" 39795 "B" "B1" 2.24815 "./data/SMC-SC2-39795.dat"
"43" "SMC-SC2" 39846 "B" "B1" 2.01782 "./data/SMC-SC2-39846.dat"
"44" "SMC-SC2" 56560 "C" "C1" 13.0956 "./data/SMC-SC2-56560.dat"
"45" "SMC-SC2" 60006 "B" "B2" 1.47401 "./data/SMC-SC2-60006.dat"
"46" "SMC-SC2" 66046 "B" "B2" 1.63027 "./data/SMC-SC2-66046.dat"
"47" "SMC-SC2" 56586 "B" "B1" 2.30616 "./data/SMC-SC2-56586.dat"
"48" "SMC-SC2" 71337 "B" "B1" 1.52691 "./data/SMC-SC2-71337.dat"
"49" "SMC-SC2" 66150 "B" "B2" 1.46178 "./data/SMC-SC2-66150.dat"
"50" "SMC-SC2" 71454 "B" "B1" 0.98237 "./data/SMC-SC2-71454.dat"
"51" "SMC-SC2" 67822 "B" "B2" 1.46662 "./data/SMC-SC2-67822.dat"
"52" "SMC-SC2" 95023 "B" "B2" 1.81207 "./data/SMC-SC2-95023.dat"
"53" "SMC-SC2" 103616 "B" "B2" 1.72017 "./data/SMC-SC2-103616.dat"
"54" "SMC-SC2" 94960 "B" "B1" 3.1652 "./data/SMC-SC2-94960.dat"
"55" "SMC-SC2" 92683 "B" "B2" 1.68509 "./data/SMC-SC2-92683.dat"
"56" "SMC-SC2" 79513 "C" "C1" 12.413 "./data/SMC-SC2-79513.dat"
"57" "SMC-SC2" 99296 "B" "B1" 2.1663 "./data/SMC-SC2-99296.dat"
"58" "SMC-SC2" 88274 "B" "B1" 2.47456 "./data/SMC-SC2-88274.dat"
"59" "SMC-SC2" 99309 "B" "B1" 1.9988 "./data/SMC-SC2-99309.dat"
